"gene","logFC","AveExpr","t","pvalue","padj"
"ACSS3",-1.3783,9.5711,-4.7708,1.835e-06,1.51e-05
"PPFIA2",-0.5231,6.8069,-1.4964,0.1346,0.219
"CCDC59",0.0211,9.5401,0.1464,0.8836,0.9198
"METTL25",-0.4916,8.0949,-3.2356,0.001214,0.0042
"TMTC2",0.2503,9.5299,1.1466,0.2515,0.3595
"SLC6A15",1.1088,6.1915,1.6481,0.09934,0.1711
"LRRIQ1",0.4185,6.5138,0.8496,0.3955,0.5102
"RASSF9",-1.9791,8.0001,-6.7854,1.157e-11,3.218e-10
"C12orf29",-0.1441,9.3927,-1.0439,0.2965,0.4098
"CEP290",0.1042,9.9306,0.5818,0.5607,0.6656
"TMTC3",0.2366,10.3338,1.714,0.08653,0.1527
"KITLG",0.3161,10.7138,1.03,0.303,0.4171
"DUSP6",-1.2769,11.7031,-5.6292,1.811e-08,2.52e-07
"GALNT4",0.0368,9.3117,0.1895,0.8497,0.896
"POC1B",0.1748,9.4504,1.3512,0.1766,0.2721
"POC1B-GALNT4",0.0568,9.3483,0.304,0.7612,0.8294
"ATP2B1",-0.5397,11.1622,-3.4385,0.000585,0.002268
"KERA",-0.1647,6.1644,-0.3171,0.7512,0.8214
"LUM",0.6007,13.7753,1.5716,0.1161,0.1942
"DCN",-1.7733,14.6129,-4.3943,1.111e-05,7.344e-05
"BTG1",-0.6028,12.4424,-2.9799,0.002883,0.008792
"EEA1",-0.4497,10.6063,-1.838,0.06606,0.1227
"NUDT4",0.0098,11.5772,0.0523,0.9583,0.971
"UBE2N",0.5773,11.509,3.8128,0.0001374,0.0006555
"MRPL42",0.6888,10.6785,5.2558,1.474e-07,1.622e-06
"SOCS2",-1.0413,9.4327,-2.8466,0.004419,0.01272
"CRADD",-0.67,8.2613,-3.3709,0.0007494,0.002788
"PLXNC1",0.8105,10.282,2.8209,0.004789,0.0136
"CEP83",0.5688,8.9023,4.9795,6.374e-07,5.955e-06
"TMCC3",-0.9727,9.1657,-2.9028,0.003698,0.01091
"NDUFA12",0.0819,9.9096,0.3241,0.7458,0.8176
"NR2C1",-0.3942,9.3019,-2.4147,0.01575,0.03732
"FGD6",1.5554,10.1405,5.6751,1.386e-08,1.979e-07
"VEZT",0.4007,11.2462,2.7582,0.005812,0.01602
"METAP2",0.016,11.4126,0.1147,0.9087,0.9367
"USP44",-2.3215,6.3303,-6.4577,1.063e-10,2.414e-09
"NTN4",-0.7265,12.1465,-1.9167,0.05528,0.1057
"SNRPF",1.1685,9.8317,4.6354,3.563e-06,2.72e-05
"AMDHD1",0.3688,6.336,0.9384,0.348,0.4632
"HAL",0.9051,5.7283,2.0716,0.0383,0.07773
"LTA4H",-0.1074,11.634,-0.8538,0.3932,0.5081
"ELK3",-0.4514,11.234,-2.11,0.03486,0.07197
"CDK17",0.1645,10.4653,1.0113,0.3119,0.4256
"CFAP54",-0.3697,6.4673,-1.2786,0.201,0.3012
"NEDD1",0.0966,9.9892,0.6275,0.5304,0.638
"TMPO",0.9491,11.4785,4.2679,1.973e-05,0.0001209
"SLC25A3",-0.1029,13.3426,-0.7731,0.4395,0.5535
"IKBIP",-0.0066,9.0438,-0.0394,0.9686,0.9782
"APAF1",-0.0637,9.7331,-0.4622,0.6439,0.7359
"ANKS1B",0.5676,8.8558,2.404,0.01622,0.0382
"UHRF1BP1L",0.2185,10.0944,1.1669,0.2432,0.3504
"ACTR6",0.2161,9.839,1.0872,0.2769,0.3881
"DEPDC4",-0.16,6.139,-0.7718,0.4402,0.5542
"SCYL2",0.2113,11.002,1.658,0.09732,0.1682
"GAS2L3",1.6827,7.9807,5.8227,5.792e-09,8.983e-08
"ANO4",-1.0732,5.7191,-2.6413,0.008258,0.02152
"UTP20",0.3381,10.5222,1.9635,0.04959,0.09665
"ARL1",0.2489,11.7958,2.0685,0.03859,0.07822
"MYBPC1",-3.5325,9.4062,-4.4519,8.512e-06,5.839e-05
"SYCP3",-0.0653,8.1731,-0.2258,0.8214,0.8749
"CHPT1",-0.3877,11.2034,-1.4612,0.144,0.2312
"GNPTAB",-0.0426,11.1019,-0.2602,0.7947,0.8551
"DRAM1",-0.4581,9.9451,-2.07,0.03845,0.07799
"WASHC3",-0.2003,9.4687,-1.4304,0.1526,0.2421
"NUP37",0.371,9.1173,1.9063,0.05662,0.1079
"PARPBP",1.8074,7.5973,6.9316,4.162e-12,1.269e-10
"PMCH",1.8559,6.3037,6.2685,3.645e-10,7.457e-09
"IGF1",-1.8932,9.9411,-4.1111,3.937e-05,0.000222
